process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHWB_at_1,yield_cHWB_at_0p3,cHWB_95CL_LL,cHWB_95CL_UL,yield_cHWB_95CL_LL,yield_cHWB_95CL_UL,comb_cHWB_95CL_LL,comb_cHWB_95CL_UL,comb_yield_cHWB_95CL_LL,comb_yield_cHWB_95CL_UL,all_comb_cHWB_95CL_LL,all_comb_cHWB_95CL_UL,all_comb_yield_cHWB_95CL_LL,all_comb_yield_cHWB_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHWB,sm_lin_quad_cHWB,quad_cHWB,lin_cHWB,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
sm,2,1500.0,1750.0,1.1155598526547676,0.0,0.0,0.0,0.0,0.0,1.1155598526547676,1.4358559559403419,1.1613426323367004,-10.594209594449344,10.262499216661423,27.14688086344772,27.173606362419758,-4.531637173728422,4.400695704806062,5.669049050512855,6.110092860141744,-3.907868204182559,3.7513940249362405,5.669049050512855,6.110092860141744,126.22721328240954,6.2251877584937185,0.0,0.0,0.0,0.0,1.1155598526547676,1.4358559559403419,0.23955262525590218,0.08074347802967208,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,0Lepton_3FJ,
sm,3,1750.0,2000.0,0.5322217069345606,0.0,0.0,0.0,0.0,0.0,0.5322217069345606,0.7553873365044048,0.5615824775147982,-9.212094671754176,8.988117574125177,15.3153003624171,15.389557843476693,-4.531637173728422,4.400695704806062,4.007846626126456,4.193040077266687,-3.907868204182559,3.7513940249362405,4.007846626126456,4.193040077266687,38.43842536679975,3.3468417166640694,0.0,0.0,0.0,0.0,0.5322217069345606,0.7553873365044048,0.17899484900340806,0.044170780566436085,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,0Lepton_3FJ,
sm,4,2000.0,2250.0,0.3615255781015967,0.0,0.0,0.0,0.0,0.0,0.3615255781015967,0.5358328061232417,0.3832638381306205,-8.256919596429212,8.076536355946388,10.042982232772145,10.084920053517168,-4.531637173728422,4.400695704806062,3.2188008789600127,3.30599048025993,-3.907868204182559,3.7513940249362405,3.2188008789600127,3.30599048025993,15.03900728565123,2.1245039294522594,0.0,0.0,0.0,0.0,0.3615255781015967,0.5358328061232417,0.14549480179747493,0.028812426224170073,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,0Lepton_3FJ,
sm,5,2250.0,2500.0,0.16160510323256227,0.0,0.0,0.0,0.0,0.0,0.16160510323256227,0.27475584258915997,0.17519243599665213,-8.013364519713015,7.830093864874414,6.256776960134905,6.232088518859344,-4.531637173728422,4.400695704806062,2.0789364873182854,2.1103304186228073,-3.907868204182559,3.7513940249362405,2.0789364873182854,2.1103304186228073,4.892259740992738,1.2263962666619492,0.0,0.0,0.0,0.0,0.16160510323256227,0.27475584258915997,0.096942328775664,0.016208410580933696,1.2263962666619492,1.2263962666619492,1.2263962666619492,1.2263962666619492,1.2263962666619492,0Lepton_3FJ,
sm,6,2500.0,4000.0,0.1754646008614014,0.0,0.0,0.0,0.0,0.0,0.1754646008614014,0.43125156519433117,0.20222983598040423,-5.110061450348717,5.034856891468305,6.298041590444864,6.297383247248721,-4.531637173728422,4.400695704806062,4.981273852797893,4.862225050654844,-3.907868204182559,3.7513940249362405,4.981273852797893,4.862225050654844,5.020771482542408,1.1822449825897272,0.0,0.0,0.0,0.0,0.1754646008614014,0.43125156519433117,0.23795644848036243,0.01783051585256734,1.1822449825897272,1.1822449825897272,1.1822449825897272,1.1822449825897272,1.1822449825897272,0Lepton_3FJ,
Other,1,500.0,1600.0,129.5636921459323,0.0,38.8691076437797,38.8691076437797,38.8691076437797,38.8691076437797,13.968913035116273,14.87729409545026,14.154223764570977,-22.996497785265603,20.60445569947154,222.23184396598973,200.42343184019506,-6.230766906764281,7.155663611337678,27.017586857106267,38.76008375807469,-3.907868204182559,3.7513940249362405,27.017586857106267,38.76008375807469,821.6861825007096,0.0,90.92186606899189,90.9656123602861,90.94450612076437,90.94297756286512,13.968913035116273,14.87729409545026,0.4152551840261501,0.4931258763078361,90.943739214639,90.9656123602861,90.92186606899189,90.94297756286512,90.94450612076437,1Lepton,
Other,2,1600.0,2600.0,27.45474013829397,0.0,8.23642204148819,8.236422041488193,8.23642204148819,8.236422041488193,4.496186711962413,5.117086341855803,4.587084347265789,-11.07697657435833,12.696549379558688,58.37352213976444,79.82391917728968,-6.230766906764281,7.155663611337678,21.088588831200465,28.943628441750366,-3.907868204182559,3.7513940249362405,21.088588831200465,28.943628441750366,203.67632720939267,0.0,23.275432672660855,23.47735192756672,23.4841043838963,23.268619660750222,4.496186711962413,5.117086341855803,0.45415358887924023,0.16674604101414925,23.376392300113785,23.47735192756672,23.275432672660855,23.268619660750222,23.4841043838963,1Lepton,
Other,3,2600.0,3400.0,1.4699372051178776,0.0,0.4409811615353634,0.4409811615353634,0.4409811615353634,0.4409811615353634,0.42274123554429316,0.5864263587209173,0.44046155037841694,-8.875310343248607,8.924909474502279,12.069047415825986,12.45432329885724,-6.230766906764281,7.155663611337678,6.136216509943316,8.17712077497327,-3.907868204182559,3.7513940249362405,6.136216509943316,8.17712077497327,19.62366595360099,0.0,3.1755570546220158,3.2938032063801184,3.1830187813111035,3.2865930090810425,0.42274123554429316,0.5864263587209173,0.14945343866125443,0.014231684515369714,3.234680130501067,3.2938032063801184,3.1755570546220158,3.2865930090810425,3.1830187813111035,1Lepton,
Other,4,3400.0,4000.0,0.10109006224068669,0.0,0.03032701867220601,0.03032701867220601,0.03032701867220601,0.03032701867220601,0.1081678740830442,0.1965717991216984,0.11699196544407307,-7.004715611247126,20.00872069881774,4.214109266169671,33.92898394010817,-6.230766906764281,7.155663611337678,3.3540615830612572,4.452750622022432,-3.907868204182559,3.7513940249362405,3.3540615830612572,4.452750622022432,1.7608052886067374,0.0,0.4791186996914711,0.5346358623641686,0.5519117504372929,0.45911180931137857,0.1081678740830442,0.1965717991216984,0.08427183881222565,0.00413208622642855,0.5068772810278198,0.5346358623641686,0.4791186996914711,0.45911180931137857,0.5519117504372929,1Lepton,
Top,1,500.0,1600.0,268.0720424940706,0.0,53.6144084988141,53.6144084988141,53.6144084988141,53.6144084988141,13.968913035116273,14.87729409545026,14.154223764570977,-22.996497785265603,20.60445569947154,222.23184396598973,200.42343184019506,-6.230766906764281,7.155663611337678,27.017586857106267,38.76008375807469,-3.907868204182559,3.7513940249362405,27.017586857106267,38.76008375807469,821.6861825007096,0.0,90.92186606899189,90.9656123602861,90.94450612076437,90.94297756286512,13.968913035116273,14.87729409545026,0.4152551840261501,0.4931258763078361,90.943739214639,90.9656123602861,90.92186606899189,90.94297756286512,90.94450612076437,1Lepton,
