process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHl3_at_1,yield_cHl3_at_0p3,cHl3_95CL_LL,cHl3_95CL_UL,yield_cHl3_95CL_LL,yield_cHl3_95CL_UL,comb_cHl3_95CL_LL,comb_cHl3_95CL_UL,comb_yield_cHl3_95CL_LL,comb_yield_cHl3_95CL_UL,all_comb_cHl3_95CL_LL,all_comb_cHl3_95CL_UL,all_comb_yield_cHl3_95CL_LL,all_comb_yield_cHl3_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHl3,sm_lin_quad_cHl3,quad_cHl3,lin_cHl3,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
ttV,4,3000.0,3500.0,1.0332567159784958,0.4997567314156581,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
sm,1,1100.0,2000.0,34.50592868333185,0.0,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
sm,2,2000.0,2500.0,1.475338671614794,0.0,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
sm,3,2500.0,3000.0,0.35299359486942017,0.0,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
sm,4,3000.0,3500.0,0.12477900315859541,0.0,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
DY,1,1250.0,1500.0,8.320661306381226,0.7351518213830418,0.0,0.0,0.0,0.0,2.524089589589385,1.6894528940605076,2.2561652427369716,-18.0,29.0,46.10184373893099,46.11519976841952,-12.699999809265137,23.600000381469727,27.650763197150983,27.358004056835682,-2.680000066757202,13.680000305175781,27.650763197150983,27.358004056835682,382.1417333979535,11.369101877199862,0.0,0.0,0.0,0.0,2.524089589589385,1.6894528940605076,0.08349208663690588,-0.9181287821657831,11.369101877199862,11.369101877199862,11.369101877199862,11.369101877199862,11.369101877199862,0Lepton_3FJ,
DY,2,1500.0,1750.0,3.3459248691797256,0.476219655426643,0.0,0.0,0.0,0.0,1.1155598526547676,0.7467138689617635,0.9971577330237882,-21.0,32.0,25.90763946097999,25.91409755016253,-12.699999809265137,23.600000381469727,12.219574940701596,12.090063564342582,-2.680000066757202,13.680000305175781,12.219574940701596,12.090063564342582,126.22721328240954,6.2251877584937185,0.0,0.0,0.0,0.0,1.1155598526547676,0.7467138689617635,0.03689678344322973,-0.4057427671362339,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,0Lepton_3FJ,
DY,3,1750.0,2000.0,1.3090158626437187,0.2979331948577186,0.0,0.0,0.0,0.0,0.5322217069345606,0.35622507429290295,0.4757255878936119,-24.0,35.0,15.319367314481077,15.32273863903423,-12.699999809265137,23.600000381469727,5.830538428493613,5.768705495700992,-2.680000066757202,13.680000305175781,5.830538428493613,5.768705495700992,38.43842536679975,3.3468417166640694,0.0,0.0,0.0,0.0,0.5322217069345606,0.35622507429290295,0.01760537737357789,-0.19360201001523553,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,0Lepton_3FJ,
DY,4,2000.0,2250.0,0.7574682086706161,0.22251609053398394,0.0,0.0,0.0,0.0,0.3615255781015967,0.24199827194851878,0.3231565376509421,-23.0,34.0,9.710598523487269,9.712702571317951,-12.699999809265137,23.600000381469727,3.95982013437173,3.9177585171518787,-2.680000066757202,13.680000305175781,3.95982013437173,3.9177585171518787,15.03900728565123,2.1245039294522594,0.0,0.0,0.0,0.0,0.3615255781015967,0.24199827194851878,0.011956421927291449,-0.13148372808036937,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,0Lepton_3FJ,
DY,5,2250.0,2500.0,0.15906842052936554,0.1124783588289478,0.0,0.0,0.0,0.0,0.16160510323256227,0.10819171607447338,0.1444590351035834,-28.0,39.0,5.995780938994288,5.99696413102131,-12.699999809265137,23.600000381469727,1.7696018652872068,1.7508475490480928,-2.680000066757202,13.680000305175781,1.7696018652872068,1.7508475490480928,4.892259740992738,1.2263962666619492,0.0,0.0,0.0,0.0,0.16160510323256227,0.10819171607447338,0.005343104674058174,-0.05875649183214707,1.2263962666619492,1.2263962666619492,1.2263962666619492,1.2263962666619492,1.2263962666619492,0Lepton_3FJ,
