process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cll1_at_1,yield_cll1_at_0p3,cll1_95CL_LL,cll1_95CL_UL,yield_cll1_95CL_LL,yield_cll1_95CL_UL,comb_cll1_95CL_LL,comb_cll1_95CL_UL,comb_yield_cll1_95CL_LL,comb_yield_cll1_95CL_UL,all_comb_cll1_95CL_LL,all_comb_cll1_95CL_UL,all_comb_yield_cll1_95CL_LL,all_comb_yield_cll1_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cll1,sm_lin_quad_cll1,quad_cll1,lin_cll1,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
restbkg,3,1350.0,5000.0,0.5097934014708257,0.28615463407004377,0.1529380204412477,0.1529380204412477,0.1529380204412477,0.1529380204412477,0.30569928820139763,0.36362315989086424,0.32254742586735524,-50.0,28.0,3.8333666287283417,3.8320535226830144,-34.0,12.0,1.334089415759661,1.3333150198867758,-27.299999237060547,5.300000190734863,1.334089415759661,1.3333150198867758,1.176138485877719,0.4148486721964572,0.16909362409421397,0.16909362409421397,0.16909362409421397,0.16909362409421397,0.30569928820139763,0.36362315989086424,0.0025191611470589312,0.0554047105424077,0.44798669012871234,0.44798669012871234,0.44798669012871234,0.44798669012871234,0.44798669012871234,2Lepton_OS,OF
sm,1,200.0,800.0,11.80682779710775,0.0,0.0,0.0,0.0,0.0,11.80682779710775,14.051958817162236,12.4598622997731,-40.0,18.0,82.13433697414109,82.09761389811231,-34.0,12.0,51.66625877090352,51.63713357267381,-27.299999237060547,5.300000190734863,51.66625877090352,51.63713357267381,223.97639674913466,6.650159238273003,36.09132169764394,36.091321697643934,36.09132169764394,36.091321697643934,11.80682779710775,14.051958817162236,0.09764192071903215,2.147489099335452,36.698884448675166,36.698884448675166,36.698884448675166,36.698884448675166,36.698884448675166,2Lepton_OS,OF
sm,2,800.0,1350.0,2.416703550667557,0.0,0.0,0.0,0.0,0.0,2.416703550667557,2.876339522180423,2.550396464451146,-35.0,13.0,11.516710569341747,11.510394592535947,-34.0,12.0,10.577053984097695,10.571001172992137,-27.299999237060547,5.300000190734863,10.577053984097695,10.571001172992137,14.760031738977158,1.3462088577310054,2.1265235232123514,2.1265235232123514,2.1265235232123514,2.1265235232123514,2.416703550667557,2.876339522180423,0.019989893667955956,0.4396460778449103,2.516819537314682,2.516819537314682,2.516819537314682,2.516819537314682,2.516819537314682,2Lepton_OS,OF
sm,3,1350.0,5000.0,0.30569928820139763,0.0,0.0,0.0,0.0,0.0,0.30569928820139763,0.36362315989086424,0.32254742586735524,-50.0,28.0,3.8333666287283417,3.8320535226830144,-34.0,12.0,1.334089415759661,1.3333150198867758,-27.299999237060547,5.300000190734863,1.334089415759661,1.3333150198867758,1.176138485877719,0.4148486721964572,0.16909362409421397,0.16909362409421397,0.16909362409421397,0.16909362409421397,0.30569928820139763,0.36362315989086424,0.0025191611470589312,0.0554047105424077,0.44798669012871234,0.44798669012871234,0.44798669012871234,0.44798669012871234,0.44798669012871234,2Lepton_OS,OF
DY,1,200.0,800.0,346.5992164514756,25.451282900792037,40.64135943351033,40.64135943351033,40.64135943351033,40.64135943351033,9.224408478558676,10.978183184501292,9.734523616693659,-59.0,37.0,175.75717089089676,175.70935116449556,-49.0,27.0,110.15764044506354,110.1197831616626,-27.299999237060547,5.300000190734863,110.15764044506354,110.1197831616626,599.5364905969609,26.51845943301718,83.65020368681996,83.65020368681996,83.65020368681996,83.65020368681996,9.224408478558676,10.978183184501292,0.07627273165620126,1.6775019742864146,87.75297868190599,87.75297868190599,87.75297868190599,87.75297868190599,87.75297868190599,2Lepton_OS,SFnoZ
DY,2,800.0,1050.0,31.942193850957192,7.0824980113439215,19.158467213884233,19.158467213884233,19.158467213884233,19.158467213884233,1.7076391086625182,2.0324279965870384,1.802109467745849,-63.0,41.0,38.19903921470397,38.18943095262276,-49.0,27.0,20.399902030656477,20.39288060836636,-27.299999237060547,5.300000190734863,20.399902030656477,20.39288060836636,55.012088752393055,7.2680150978366145,20.20193068782056,20.20193068782056,20.20193068782056,20.20193068782056,1.7076391086625182,2.0324279965870384,0.01412527282869202,0.3106636150958282,21.46956094050102,21.46956094050102,21.46956094050102,21.46956094050102,21.46956094050102,2Lepton_OS,SFnoZ
DY,3,1050.0,5000.0,6.182429661072676,4.610277334584801,3.576335531481355,3.5763355314813543,3.5763355314813543,3.576335531481355,0.8198408281756644,0.9764032980501056,0.8653796815247997,-56.0,33.0,13.786634235801506,13.176694331822901,-49.0,27.0,9.830301958293157,9.826937536044152,-27.299999237060547,5.300000190734863,9.830301958293157,9.826937536044152,13.998415609530007,4.678806514232945,4.146724010915087,4.146724010915087,4.1467240109150865,4.146724010915088,0.8198408281756644,0.9764032980501056,0.006808988634271475,0.14975348124016974,6.2519237375649706,6.2519237375649706,6.2519237375649706,6.251923737564971,6.25192373756497,2Lepton_OS,SFnoZ
restbkg,1,200.0,800.0,243.7128656669266,7.447206818964328,73.113859700078,73.113859700078,73.113859700078,73.113859700078,9.224408478558676,10.978183184501292,9.734523616693659,-59.0,37.0,175.75717089089676,175.70935116449556,-49.0,27.0,110.15764044506354,110.1197831616626,-27.299999237060547,5.300000190734863,110.15764044506354,110.1197831616626,599.5364905969609,26.51845943301718,83.65020368681996,83.65020368681996,83.65020368681996,83.65020368681996,9.224408478558676,10.978183184501292,0.07627273165620126,1.6775019742864146,87.75297868190599,87.75297868190599,87.75297868190599,87.75297868190599,87.75297868190599,2Lepton_OS,SFnoZ
restbkg,2,800.0,1050.0,21.362255792773347,1.631644992542915,6.408676737832003,6.408676737832003,6.408676737832003,6.408676737832003,1.7076391086625182,2.0324279965870384,1.802109467745849,-63.0,41.0,38.19903921470397,38.18943095262276,-49.0,27.0,20.399902030656477,20.39288060836636,-27.299999237060547,5.300000190734863,20.399902030656477,20.39288060836636,55.012088752393055,7.2680150978366145,20.20193068782056,20.20193068782056,20.20193068782056,20.20193068782056,1.7076391086625182,2.0324279965870384,0.01412527282869202,0.3106636150958282,21.46956094050102,21.46956094050102,21.46956094050102,21.46956094050102,21.46956094050102,2Lepton_OS,SFnoZ
restbkg,3,1050.0,5000.0,6.996145120281667,0.7978554354281892,2.098843536084499,2.0988435360845,2.098843536084499,2.0988435360845,0.8198408281756644,0.9764032980501056,0.8653796815247997,-56.0,33.0,13.786634235801506,13.176694331822901,-49.0,27.0,9.830301958293157,9.826937536044152,-27.299999237060547,5.300000190734863,9.830301958293157,9.826937536044152,13.998415609530007,4.678806514232945,4.146724010915087,4.146724010915087,4.1467240109150865,4.146724010915088,0.8198408281756644,0.9764032980501056,0.006808988634271475,0.14975348124016974,6.2519237375649706,6.2519237375649706,6.2519237375649706,6.251923737564971,6.25192373756497,2Lepton_OS,SFnoZ
