process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHDD_at_1,yield_cHDD_at_0p3,cHDD_95CL_LL,cHDD_95CL_UL,yield_cHDD_95CL_LL,yield_cHDD_95CL_UL,comb_cHDD_95CL_LL,comb_cHDD_95CL_UL,comb_yield_cHDD_95CL_LL,comb_yield_cHDD_95CL_UL,all_comb_cHDD_95CL_LL,all_comb_cHDD_95CL_UL,all_comb_yield_cHDD_95CL_LL,all_comb_yield_cHDD_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHDD,sm_lin_quad_cHDD,quad_cHDD,lin_cHDD,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
sm,2,800.0,1350.0,1.826044331018905,0.0,0.07686398938849624,0.07401424877838046,0.0755692054569879,0.07533576224836652,1.826044331018905,1.8539013157831081,1.8342697099862213,-213.82474513551557,106.2509358175578,24.680843305469047,11.800096780033108,-186.2954261430346,99.16417926511168,18.521595638176173,10.694063224964026,-100.04743260473354,61.9523747018094,18.521595638176173,10.694063224964026,14.169372519328505,1.3462088577310054,2.1279122086308417,2.12781117672544,2.1278658321400044,2.127857554407488,1.826044331018905,1.8539013157831081,0.0006272212473550951,0.027229763516848138,2.517950291765209,2.5179076020440307,2.517992981776082,2.5179467946091383,2.517953789929889,2Lepton_OS,OF
sm,3,1350.0,5000.0,0.23284900286210156,0.0,0.009349836328155335,0.008495590594964379,0.009218069121615872,0.008638385299907177,0.23284900286210156,0.23666735096007632,0.2339750999533201,-435.6563121864452,215.00278504098225,16.149829561741385,5.305970273803315,-186.2954261430346,99.16417926511168,2.746109652259352,1.511102909292841,-100.04743260473354,61.9523747018094,2.746109652259352,1.511102909292841,1.103288200538423,0.4148486721964572,0.16935192100675633,0.1693069070323848,0.1693446973118622,0.16931413233958054,0.23284900286210156,0.23666735096007632,9.241589606609474e-05,0.0037259322019086716,0.4480757427883982,0.44806723780258273,0.4480842487432941,0.44806996801065413,0.44808151862223666,2Lepton_OS,OF
DY,1,200.0,800.0,346.5992164514756,25.451282900792037,39.836297581036774,40.10584416598999,40.10584416598999,39.836297581036774,6.906147785671395,6.983835160055097,6.929035048252026,-4630.836295280073,1480.367933133542,42438.42639649202,4490.976931406908,-1068.4866254548474,355.1090014774884,2203.6474324634664,285.3593261256941,-100.04743260473354,61.9523747018094,2203.6474324634664,285.3593261256941,597.2182299040736,26.51845943301718,83.26243900385909,83.41243425401011,83.41243830625953,83.26243494430943,6.906147785671395,6.983835160055097,0.0019949987356160524,0.07569237564808606,87.45488571018927,87.52635533872147,87.38342199508973,87.38341812698756,87.52635920050675,2Lepton_OS,SFnoZ
DY,2,800.0,1050.0,31.942193850957192,7.0824980113439215,3.4358068363197525,3.4728539477261897,3.4728539477261897,3.4358068363197525,1.3153741071984075,1.3337609357812463,1.3207982696764973,-1918.0298203787797,570.0011452746687,1576.5743205797646,153.70797138752562,-1068.4866254548474,355.1090014774884,481.67499560577045,62.86578824311226,-100.04743260473354,61.9523747018094,481.67499560577045,62.86578824311226,54.619823750928944,7.2680150978366145,7.271754933146043,7.289530229404569,7.289439454229745,7.271845929078503,1.3153741071984075,1.3337609357812463,0.00043755284172279,0.017949275741115933,10.287458377007418,10.293750260608812,10.281170325897474,10.281234686487638,10.293685978271448,2Lepton_OS,SFnoZ
DY,3,1050.0,5000.0,6.182429661072676,4.610277334584801,1.137545938187178,1.1864512611671794,1.1864512611671794,1.137545938187178,0.6183466319225325,0.6273857426533468,0.6210087416515553,-1530.821133651691,523.3161644703068,540.896864945259,69.93871048296053,-1068.4866254548474,355.1090014774884,260.99045361148217,33.5425953161363,-100.04743260473354,61.9523747018094,260.99045361148217,33.5425953161363,13.796921413276875,4.678806514232945,2.3874353002088124,2.414320949145796,2.4143309374582818,2.3874251993725824,0.6183466319225325,0.6273857426533468,0.0002363023343878881,0.008802808396426443,5.258844565794149,5.26499535072092,5.252720981578194,5.252716390614275,5.264999930977856,2Lepton_OS,SFnoZ
restbkg,1,200.0,800.0,243.7128656669266,7.447206818964328,73.113859700078,73.113859700078,73.113859700078,73.113859700078,6.906147785671395,6.983835160055097,6.929035048252026,-4630.836295280073,1480.367933133542,42438.42639649202,4490.976931406908,-1068.4866254548474,355.1090014774884,2203.6474324634664,285.3593261256941,-100.04743260473354,61.9523747018094,2203.6474324634664,285.3593261256941,597.2182299040736,26.51845943301718,83.26243900385909,83.41243425401011,83.41243830625953,83.26243494430943,6.906147785671395,6.983835160055097,0.0019949987356160524,0.07569237564808606,87.45488571018927,87.52635533872147,87.38342199508973,87.38341812698756,87.52635920050675,2Lepton_OS,SFnoZ
restbkg,2,800.0,1050.0,21.362255792773347,1.631644992542915,6.408676737832003,6.408676737832003,6.408676737832003,6.408676737832003,1.3153741071984075,1.3337609357812463,1.3207982696764973,-1918.0298203787797,570.0011452746687,1576.5743205797646,153.70797138752562,-1068.4866254548474,355.1090014774884,481.67499560577045,62.86578824311226,-100.04743260473354,61.9523747018094,481.67499560577045,62.86578824311226,54.619823750928944,7.2680150978366145,7.271754933146043,7.289530229404569,7.289439454229745,7.271845929078503,1.3153741071984075,1.3337609357812463,0.00043755284172279,0.017949275741115933,10.287458377007418,10.293750260608812,10.281170325897474,10.281234686487638,10.293685978271448,2Lepton_OS,SFnoZ
restbkg,3,1050.0,5000.0,6.996145120281667,0.7978554354281892,2.098843536084499,2.0988435360845,2.098843536084499,2.0988435360845,0.6183466319225325,0.6273857426533468,0.6210087416515553,-1530.821133651691,523.3161644703068,540.896864945259,69.93871048296053,-1068.4866254548474,355.1090014774884,260.99045361148217,33.5425953161363,-100.04743260473354,61.9523747018094,260.99045361148217,33.5425953161363,13.796921413276875,4.678806514232945,2.3874353002088124,2.414320949145796,2.4143309374582818,2.3874251993725824,0.6183466319225325,0.6273857426533468,0.0002363023343878881,0.008802808396426443,5.258844565794149,5.26499535072092,5.252720981578194,5.252716390614275,5.264999930977856,2Lepton_OS,SFnoZ
sm,1,200.0,800.0,6.906147785671395,0.0,0.2581930745555885,1.8758922330978411,1.8760724096338013,0.25688060992627415,6.906147785671395,6.983835160055097,6.929035048252026,-4630.836295280073,1480.367933133542,42438.42639649202,4490.976931406908,-1068.4866254548474,355.1090014774884,2203.6474324634664,285.3593261256941,-100.04743260473354,61.9523747018094,2203.6474324634664,285.3593261256941,597.2182299040736,26.51845943301718,83.26243900385909,83.41243425401011,83.41243830625953,83.26243494430943,6.906147785671395,6.983835160055097,0.0019949987356160524,0.07569237564808606,87.45488571018927,87.52635533872147,87.38342199508973,87.38341812698756,87.52635920050675,2Lepton_OS,SFnoZ
sm,2,800.0,1050.0,1.3153741071984075,0.0,0.050136425911837514,0.07347716064606823,0.06383952235743373,0.06194408547227095,1.3153741071984075,1.3337609357812463,1.3207982696764973,-1918.0298203787797,570.0011452746687,1576.5743205797646,153.70797138752562,-1068.4866254548474,355.1090014774884,481.67499560577045,62.86578824311226,-100.04743260473354,61.9523747018094,481.67499560577045,62.86578824311226,54.619823750928944,7.2680150978366145,7.271754933146043,7.289530229404569,7.289439454229745,7.271845929078503,1.3153741071984075,1.3337609357812463,0.00043755284172279,0.017949275741115933,10.287458377007418,10.293750260608812,10.281170325897474,10.281234686487638,10.293685978271448,2Lepton_OS,SFnoZ
